"id_transect_annee","transect_coordonnees","transect_type_prairie","transect_paturage_prairie","transect_rythme_fauchage_prairie","amendements","semis_sursemis","duree","longueur_transect","geometry"
"1196_ilot curie_2022","{""type"": ""LineString"", ""coordinates"": [[2.400534, 48.781393], [2.400566, 48.781388], [2.400602, 48.781393], [2.400622, 48.781412], [2.400628, 48.781436], [2.400541, 48.781533], [2.400514, 48.781541], [2.40049, 48.78154], [2.400468, 48.781535], [2.400449, 48.781525], [2.400441, 48.781508], [2.400445, 48.781489], [2.400532, 48.781395]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2700,46.6826956079011,c(2.40052553846154, 48.7814683076923)
"1196_ilot curie_2023","{""type"": ""LineString"", ""coordinates"": [[2.400534, 48.781393], [2.400566, 48.781388], [2.400602, 48.781393], [2.400622, 48.781412], [2.400628, 48.781436], [2.400541, 48.781533], [2.400514, 48.781541], [2.40049, 48.78154], [2.400468, 48.781535], [2.400449, 48.781525], [2.400441, 48.781508], [2.400445, 48.781489], [2.400532, 48.781395]]}","Prairie semée","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",1800,46.6826956079011,c(2.40052553846154, 48.7814683076923)
"1197_rue neuve_2022","{""type"": ""LineString"", ""coordinates"": [[2.399078, 48.795592], [2.398713, 48.795458], [2.398654, 48.795486], [2.398922, 48.795719], [2.399142, 48.795621], [2.399072, 48.795603]]}","Prairie semée","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Je ne sais pas",3000,93.3975369347513,c(2.39893016666667, 48.7955798333333)
"11_Soubriarde_2015","{""type"": ""LineString"", ""coordinates"": [[2.6435288786888123, 48.82954373642282], [2.6437756419181824, 48.83022882409653], [2.6440653204917908, 48.8304689557032], [2.644612491130829, 48.830634928346996], [2.644907534122467, 48.830776181227804], [2.645063102245331, 48.83095627807328]]}","Prairie sèche (calcicole)","Non pâturée","Fauche tardive","[]","Non",3300,206.227940277332,c(2.64432549476624, 48.8304348173118)
"11_Soubriarde_2018","{""type"": ""LineString"", ""coordinates"": [[2.6435288786888123, 48.82954373642282], [2.6437756419181824, 48.83022882409653], [2.6440653204917908, 48.8304689557032], [2.644612491130829, 48.830634928346996], [2.644907534122467, 48.830776181227804], [2.645063102245331, 48.83095627807328]]}","Prairie sèche (calcicole)","Non pâturée","Fauche tardive","[]","Non",3000,206.227940277332,c(2.64432549476624, 48.8304348173118)
"11_Soubriarde_2019","{""type"": ""LineString"", ""coordinates"": [[2.6435288786888123, 48.82954373642282], [2.6437756419181824, 48.83022882409653], [2.6440653204917908, 48.8304689557032], [2.644612491130829, 48.830634928346996], [2.644907534122467, 48.830776181227804], [2.645063102245331, 48.83095627807328]]}","Prairie sèche (calcicole)","Non pâturée","Fauche tardive","[]","Non",2700,206.227940277332,c(2.64432549476624, 48.8304348173118)
"11_Soubriarde_2021","{""type"": ""LineString"", ""coordinates"": [[2.6435288786888123, 48.82954373642282], [2.6437756419181824, 48.83022882409653], [2.6440653204917908, 48.8304689557032], [2.644612491130829, 48.830634928346996], [2.644907534122467, 48.830776181227804], [2.645063102245331, 48.83095627807328]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2100,206.227940277332,c(2.64432549476624, 48.8304348173118)
"1203_vanne des eaux_2021","{""type"": ""LineString"", ""coordinates"": [[2.360669, 48.681581], [2.360476, 48.682508], [2.360535, 48.682501], [2.360718, 48.681619]]}","Prairie sans distinction","Pâturée","Plusieurs fauches","[""espaces-verts.amendements.aucun""]","Non",2160,207.437997464278,c(2.3605995, 48.68205225)
"1208_227_2021","{""type"": ""LineString"", ""coordinates"": [[2.368324, 48.904155], [2.37113, 48.903849], [2.371581, 48.903884], [2.368351, 48.904272]]}","Prairie semée","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",1980,481.083497175026,c(2.3698465, 48.90404)
"1208_227_2022","{""type"": ""LineString"", ""coordinates"": [[2.368324, 48.904155], [2.37113, 48.903849], [2.371581, 48.903884], [2.368351, 48.904272]]}","Prairie semée","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",1800,481.083497175026,c(2.3698465, 48.90404)
"1217_Talus Française et Rocaille_2021","{""type"": ""LineString"", ""coordinates"": [[2.357259, 48.819037], [2.356219, 48.818698], [2.356444, 48.818246]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.engrais-organique""]","Non",1800,137.854885307154,c(2.35664066666667, 48.8186603333333)
